id,name,passport_no,birth_date,driving_permit_since
1,Клавдия Соколова,473459527,1985-05-22,1992-10-09
2,Пелагея Черная,937864146,1997-08-28,1999-06-03
3,Ираида Михайлова,850738604,1995-09-01,1996-10-01
4,Пелагея Васильева,529840359,1995-10-03,1996-07-13
5,Добрыня Калачев,596545352,1990-04-12,1998-01-22
6,Еремей Грибов,078988953,1992-02-17,1995-10-19
7,Пелагея Минина,595469970,1995-05-26,1999-05-14
8,Ульяна Грибова,712738116,1995-04-29,1996-06-02
9,Добрыня Черный,066533900,1990-01-20,1996-09-16
10,Злата Смирнова,904122631,1984-07-27,1996-10-16
11,Агафья Смирнова,378916906,1997-10-01,1998-03-01
12,Василиса Попова,144553382,1991-02-12,1994-12-21
13,Агафья Агапова,229323966,1986-09-11,1987-04-18
14,Василиса Соколова,132638544,1992-01-12,1992-01-16
15,Ульяна Грибова,215457843,1981-10-17,1989-10-29
16,Христофор Черный,960794632,1994-10-08,1995-09-20
17,Агафья Минина,168291830,1989-12-15,1990-12-02
18,Митрофан Агапов,563820065,1995-08-07,1996-02-29
19,Ираида Черная,767963525,1981-09-18,1995-04-15
20,Еремей Петров,360192352,1994-05-20,1998-04-19
21,Харитон Иванов,043409489,1984-01-17,1992-04-20
22,Митрофан Калачев,789639600,1988-03-25,1991-09-25
23,Агафья Иванова,445643927,1987-09-04,1993-12-25
24,Аристарх Иванов,946132092,1995-08-21,1998-08-01
25,Еремей Петров,991468493,1990-04-06,1991-09-17
26,Митрофан Калачев,239880127,1984-06-04,1993-10-26
27,Феврония Калачева,080200831,1994-09-05,1995-01-07
28,Евграф Лыков,556879792,1989-07-23,1998-10-25
29,Феврония Минина,358760152,1989-03-04,1997-08-09
30,Христофор Лыков,806128004,1986-02-18,1991-09-21
31,Христофор Калачев,946304106,1992-06-01,1993-07-16
32,Злата Елизарова,748646316,1986-11-16,1991-11-04
33,Клавдия Смирнова,986857174,1996-06-14,1999-02-26
34,Ульяна Агапова,949965208,1982-04-12,1983-01-23
35,Клавдия Калачева,145994077,1988-02-14,1991-09-12
36,Митрофан Калачев,970030309,1981-07-06,1998-05-09
37,Агафья Черная,691030681,1984-07-11,1987-08-29
38,Аристарх Лыков,342996191,1983-03-17,1999-04-11
39,Злата Черная,327240100,1997-01-10,1999-04-14
40,Митрофан Елизаров,460439044,1993-07-23,1994-06-14
41,Василиса Попова,972567437,1985-12-21,1992-07-01
42,Харитон Соколов,464206602,1996-11-18,1997-04-20
43,Алевтина Елизарова,467272918,1983-08-26,1995-01-29
44,Харитон Михайлов,122795073,1990-11-10,1994-05-31
45,Добрыня Попов,425565464,1996-08-04,1997-02-13
46,Клавдия Васильева,163516344,1987-04-21,1995-03-08
47,Евграф Васильев,370604805,1992-01-20,1992-07-09
48,Христофор Калачев,006986727,1993-07-29,1997-10-05
49,Еремей Соколов,484475194,1986-08-06,1988-10-27
50,Василиса Минина,195032010,1987-08-09,1990-04-18
51,Злата Грибова,528346599,1991-05-20,1997-05-04
52,Ираида Елизарова,220106176,1989-04-23,1996-09-19
53,Василиса Черная,187343003,1988-09-09,1992-06-21
54,Добрыня Кузнецов,738237090,1984-06-02,1994-10-15
55,Мирон Иванов,410074940,1994-09-17,1999-09-22
56,Мирон Минин,418934525,1981-09-01,1984-12-10
57,Харитон Соколов,221707227,1991-04-01,1995-11-07
58,Клавдия Михайлова,617367628,1995-07-24,1996-01-30
59,Добрыня Калачев,218535013,1984-12-17,1994-04-23
60,Феврония Смирнова,756278735,1993-12-19,1998-07-20
61,Ираида Смирнова,340266494,1995-02-19,1997-08-10
62,Христофор Попов,873007934,1991-03-30,1997-04-14
63,Алевтина Попова,357106002,1992-05-20,1994-08-27
64,Агафья Иванова,824313973,1997-06-23,1998-06-21
65,Харитон Михайлов,409430185,1993-06-20,1997-11-02
66,Злата Васильева,208176109,1995-03-29,1999-01-04
67,Алевтина Соколова,287090021,1983-07-18,1993-05-07
68,Аристарх Агапов,433959752,1987-11-11,1991-02-03
69,Ульяна Калачева,070657262,1987-11-05,1993-10-16
70,Василиса Лыкова,539957639,1997-06-21,1997-12-18
71,Василиса Агапова,593637690,1981-02-26,1996-05-27
72,Авдей Смирнов,498771549,1996-10-01,1999-09-04
73,Еремей Грибов,576722497,1983-09-02,1985-06-12
74,Феврония Елизарова,778716953,1997-10-12,1998-03-03
75,Феврония Соколова,205966647,1991-05-30,1998-03-08
76,Христофор Васильев,047458791,1997-01-06,1999-08-17
77,Ираида Грибова,876000273,1996-12-09,1997-09-02
78,Алевтина Петрова,481730450,1995-12-02,1996-01-25
79,Василиса Иванова,509893997,1984-03-26,1985-12-17
80,Евграф Елизаров,011467080,1987-11-08,1991-07-09
81,Клавдия Грибова,505822722,1997-02-04,1998-01-14
82,Ираида Кузнецова,056078064,1996-04-04,1998-03-26
83,Митрофан Кузнецов,455838043,1986-08-28,1995-04-16
84,Христофор Михайлов,130708140,1997-09-25,1999-07-17
85,Аристарх Иванов,380039765,1994-01-04,1998-02-25
86,Ульяна Иванова,331316604,1994-08-07,1995-08-06
87,Прасковья Михайлова,878260839,1982-05-13,1983-04-08
88,Авдей Черный,031511962,1991-08-09,1993-12-18
89,Алевтина Лыкова,602212284,1989-03-09,1998-08-22
90,Злата Елизарова,038908507,1981-03-25,1998-07-15
91,Евграф Агапов,049321550,1992-06-01,1995-03-27
92,Евграф Лыков,423635898,1988-04-25,1993-05-03
93,Авдей Грибов,037918070,1989-01-16,1991-08-08
94,Христофор Петров,613459259,1996-09-02,1998-12-04
95,Евграф Агапов,191526246,1991-09-07,1997-10-27
96,Мирон Петров,143076755,1983-03-30,1993-05-31
97,Харитон Попов,387731984,1989-11-26,1998-01-13
98,Прасковья Петрова,699738939,1989-07-02,1992-12-05
99,Ираида Лыкова,105795662,1994-10-12,1998-03-26
100,Ираида Смирнова,370884145,1992-09-02,1997-01-26
101,Митрофан Агапов,808918885,1996-08-21,1998-06-07
102,Пелагея Калачева,138599053,1987-11-13,1988-02-13
103,Ульяна Михайлова,464151881,1982-09-23,1996-12-23
104,Авдей Петров,221181881,1997-02-25,1998-08-23
105,Агафья Минина,469583002,1990-06-18,1997-07-16
106,Василиса Попова,530523372,1989-05-26,1999-04-12
107,Клавдия Михайлова,317454639,1995-12-04,1997-04-29
108,Аристарх Соколов,842432194,1993-12-27,1999-10-17
109,Аристарх Петров,956654360,1989-09-14,1999-08-19
110,Христофор Попов,500231732,1997-05-26,1999-10-17
111,Аристарх Иванов,917108801,1982-12-23,1993-03-02
112,Варлам Петров,376257866,1994-09-07,1996-12-04
113,Агафья Лыкова,666356251,1993-02-11,1994-12-12
114,Варлам Смирнов,434353822,1996-02-21,1997-11-15
115,Варлам Иванов,474424226,1993-04-05,1993-04-19
116,Ираида Лыкова,256910887,1989-11-08,1990-09-23
117,Евграф Соколов,789865719,1984-04-03,1990-05-06
118,Феврония Соколова,852429851,1991-09-27,1996-09-26
119,Еремей Соколов,687469836,1992-06-05,1994-01-31
120,Добрыня Петров,684177934,1988-06-05,1993-06-07
121,Прасковья Калачева,858420916,1981-05-12,1985-03-10
122,Аристарх Елизаров,404737729,1982-04-30,1999-04-23
123,Христофор Михайлов,528235382,1983-08-08,1987-10-18
124,Еремей Грибов,943704697,1990-07-21,1991-02-20
125,Злата Соколова,333818535,1981-07-16,1986-07-07
126,Митрофан Иванов,396470558,1995-08-17,1997-01-07
127,Ульяна Михайлова,579693673,1994-04-02,1996-03-10
128,Варлам Петров,289267083,1997-12-12,1999-07-22
129,Ираида Иванова,179534454,1991-05-15,1993-11-04
130,Варлам Лыков,460862863,1983-12-14,1987-10-12
